Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),ID,Page/Subgroup,Priority,Status,System Layer,ID,Page
"1211702343229764",2025-10-21,,2025-10-21,"Change My Assessments to match nomenclature from rest of app for when you are role ready, almost there, developing.",Not Started,,,,,,,SkillSync MVP User Stories,,,,,,,Not Started,UI + Backend,MYASSESS-603,Jobs → My Assessments Page
"1211702342652796",2025-10-21,,2025-10-21,Refine assessment cards,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,UI,MYASSESS-606,Jobs → My Assessments Page
"1211691502466790",2025-10-20,,2025-10-21,Send Rob legal pages for final review,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,Task,ONBOARD-823,Account Onboarding Flow
"1211691502466787",2025-10-19,,2025-10-21,"log rfi captures per provider in their respective portal, but log all in /bisk and superadmin",Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,Backend + UI,PROGRAMS-825,Programs → Program Details
"1211691502466784",2025-10-19,,2025-10-21,create hubspot RFI form and embed per program ,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,Backend + Infra + UI,PROGRAMS-824,Programs → Program Details
"1211691502466778",2025-10-19,,2025-10-21,Retake Cooldown (24-hour limit),Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,UI + Backend,MYASSESS-605,Jobs → My Assessments Page
"1211691502466769",2025-10-19,,2025-10-21,add in skills extractor for job description via link or paste in,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,AI Logic + Data + UI,ROLE-404,Jobs → Hiring Now → Role Detail
"1211691500919742",2025-10-19,,2025-10-21,"Reroute users to /employers for login, /providers, and /bisk for admin purposes - reroute on root signin depending on email",Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,Backend + System Logic,ONBOARD-824,Account Onboarding Flow
"1211691500919736",2025-10-19,,2025-10-21,Responsiveness across experience,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,UI,SYSTEM-UI-941,System → UI
"1211656156870547",2025-10-16,,2025-10-21,toasts and dialogs across app,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,UI + Backend,DEMO-106,System → Cleanup / Demo Prep
"1211644378699035",2025-10-15,,2025-10-21,Security check,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,Security,DEMO-106,System → Cleanup / Demo Prep
"1211644378699029",2025-10-15,,2025-10-21,Clean comments throughout app,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,Documentation,DEMO-105,System → Cleanup / Demo Prep
"1211644378699026",2025-10-15,,2025-10-21,Documentation best practices (what to include?),Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,Documentation,DEMO-104,System → Cleanup / Demo Prep
"1211644378699023",2025-10-15,,2025-10-21,Global stylesheet to manage plus documentation,Not Started,Keith Woods,keith-woods@bisk.com,,,,,SkillSync MVP User Stories,,,,,,,Not Started,Documentation,DEMO-103,System → Cleanup / Demo Prep
"1211644378699020",2025-10-15,,2025-10-21,Add learning pathways tab and sub-tab,Not Started,Keith Woods,keith-woods@bisk.com,,,,"Bucket programs by job-type preparation
    technology
    healthcare
    business
    construction
",SkillSync MVP User Stories,,,,,,,Not Started,AI Logic + Data + UI,,Programs → Featured Programs
