occupation_name,soc_code,category,description_short,description_long,median_wage_value,median_wage_unit,projected_open_positions_pinellas,education_requirement,job_growth_outlook_pct,job_growth_outlook_through_year,core_skills,common_responsibilities,related_job_titles,skills_count
General & Operations Managers,11-1021,Business,"Oversees daily operations, people, and budgets to meet organizational goals.","General and Operations Managers plan, direct, or coordinate the operations of public or private sector organizations. They manage people and resources, monitor performance, and drive strategic and operational initiatives across departments.",49.64,hourly,,Bachelor’s degree,,2030,Leadership|Strategic Planning|Budgeting|Operations Management|Process Improvement|Data Analysis|Communication|Teamwork,Set goals and KPIs|Manage budgets and staffing plans|Coordinate cross‑functional operations|Monitor performance and implement improvements|Ensure compliance with policies and regulations,Operations Manager|Business Manager|Division Manager|General Manager,8
"Bookkeeping, Accounting & Auditing Clerks",43-3031,Finance & Legal,Maintains financial records and supports accounting and auditing activities.,"Bookkeeping, Accounting, and Auditing Clerks produce financial records for organizations. They record transactions, verify accuracy, and assist accountants with reports, reconciliations, and audits.",22.98,hourly,,Some college,,2030,Accounts Payable/Receivable|Reconciliations|Payroll Processing|Spreadsheet Tools|Attention to Detail|Communication|Problem Solving,Record and post transactions|Reconcile accounts and resolve discrepancies|Prepare routine financial reports|Support audits and month‑end close,Accounting Clerk|Accounts Payable Clerk|Accounts Receivable Clerk|Bookkeeper,7
Registered Nurses,29-1141,Health & Education,Provides and coordinates patient care while educating patients and families.,"Registered Nurses assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. They educate patients about conditions and coordinate with physicians and care teams to deliver treatment.",39.62,hourly,,Associate’s degree,,2030,Patient Care|Clinical Documentation|Medication Administration|Care Coordination|Critical Thinking|Communication|Teamwork|Empathy,Assess patient status and vital signs|Administer medications and treatments|Document care and update records|Educate patients and families|Coordinate with interdisciplinary teams,Staff Nurse|Clinical Nurse|RN Charge Nurse|Registered Nurse (RN),8
"Sales Representatives of Services (except advertising, insurance, financial, travel)",41-3091,Business,Sells business services to organizations and manages client relationships.,"Service Sales Representatives identify prospects, present solutions, and close agreements for services such as consulting, logistics, or software. They manage pipelines, negotiate contracts, and maintain long‑term client relationships.",27.08,hourly,,Bachelor’s degree (or experience),,2030,Prospecting|CRM & Pipeline Management|Negotiation|Presentation|Customer Success|Communication|Problem Solving,Generate and qualify leads|Deliver product or service demos|Negotiate pricing and terms|Manage accounts to drive renewals and upsell,Account Executive|Business Development Representative|Client Services Representative|Sales Consultant,7
Heavy & Tractor‑Trailer Truck Drivers,53-3032,Logistics,Transports goods using heavy trucks on local or long‑haul routes.,"Heavy and Tractor‑Trailer Truck Drivers operate large vehicles to transport goods safely and on schedule. They inspect vehicles, maintain logs, follow route plans, and comply with DOT regulations.",23.65,hourly,,Postsecondary credential (CDL),,2030,CDL Operation|Route Planning|Load Securement|Safety & Compliance|Time Management|Communication|Problem Solving,Operate tractor‑trailer safely|Inspect vehicle and document issues|Plan routes and delivery schedules|Maintain driver logs and compliance records,CDL Driver|Long‑Haul Driver|Truck Driver|Tractor‑Trailer Driver,7
Accountants & Auditors,13-2011,Finance & Legal,Prepares and examines financial records to ensure accuracy and compliance.,"Accountants and Auditors compile and analyze financial information, prepare statements and reports, and ensure compliance with laws and standards. They advise management on cost reduction, revenue enhancement, and financial strategy.",37.35,hourly,,Bachelor’s degree,,2030,Financial Reporting|GAAP|Audit Procedures|Tax Preparation|Data Analysis|Spreadsheet Tools|Communication|Attention to Detail,Prepare financial statements|Conduct internal or external audits|Analyze variances and trends|Ensure regulatory and tax compliance,Staff Accountant|Auditor|Tax Accountant|Financial Accountant,8
Management Analysts,13-1111,Business,Analyzes operations and recommends strategies to improve efficiency and performance.,"Management Analysts study organizational processes and data to identify problems and propose solutions. They build business cases, model impacts, and help implement process and technology changes that improve outcomes.",46.35,hourly,,Bachelor’s degree,,2030,Process Improvement|Data Analysis|Requirements Gathering|Change Management|Stakeholder Management|Presentation|Communication|Critical Thinking,Analyze workflows and KPIs|Develop improvement recommendations|Facilitate stakeholder workshops|Support implementation and measure results,Business Analyst|Operations Analyst|Strategy Analyst|Process Analyst,8
First‑Line Supervisors of Office & Administrative Support Workers,43-1011,Business,"Leads administrative teams, schedules work, and ensures service quality.","These supervisors coordinate and oversee the work of clerks and administrative support staff. They set schedules, train team members, handle escalations, and monitor productivity and quality metrics.",29.87,hourly,,Some college,,2030,Team Leadership|Scheduling|Customer Service|Process Improvement|Quality Assurance|Communication|Coaching,Assign and review work|Train and coach staff|Track performance against service levels|Resolve complex customer or process issues,Office Supervisor|Administrative Supervisor|Call Center Supervisor|Team Lead,7
Software Developers,15-1252,Tech & Services,"Designs, develops, tests, and maintains software applications and systems.","Software Developers analyze user needs and design, build, and test software solutions. They collaborate with cross‑functional teams, manage code quality, and deploy features that meet business and user requirements.",57.25,hourly,,Bachelor’s degree,,2030,Programming|Software Design|APIs & Integration|Databases|Version Control|Testing/QA|Communication|Problem Solving,"Design and implement features|Write clean, testable code|Troubleshoot and fix defects|Collaborate with product and UX teams",Application Developer|Software Engineer|Full‑Stack Developer|Backend Developer,8
"Sales Reps, Wholesale & Manufacturing (except technical & scientific products)",41-4012,Business,Sells products to businesses and government organizations across territories.,"Wholesale and Manufacturing Sales Reps build relationships with B2B buyers, present product solutions, negotiate orders, and manage accounts. They coordinate with operations to meet delivery, pricing, and service expectations.",29.22,hourly,,Some college,,2030,Territory Management|Product Knowledge|Negotiation|CRM|Presentation|Communication|Customer Service,Prospect and grow accounts|Prepare quotes and proposals|Negotiate terms and close sales|Track orders and after‑sale service,Sales Representative|Account Manager|Outside Sales|Territory Sales,7
