rank,occupation,soc_code,category,education_requirement,projected_openings_pinellas,growth_outlook_2030,source_occupation_set,source_education,source_skills,source_responsibilities,source_projections,source_growth
1,General & Operations Managers,11-1021,Business,Bachelor’s degree,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
2,"Bookkeeping, Accounting & Auditing Clerks",43-3031,Finance & Legal,High school diploma or equivalent,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
3,Registered Nurses,29-1141,Health & Education,Bachelor’s degree,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
4,"Sales Representatives of Services (except advertising, insurance, financial, travel)",41-3091,Business,High school diploma or equivalent,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
5,Heavy & Tractor-Trailer Truck Drivers,53-3032,Logistics,High school diploma or equivalent,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
6,Accountants & Auditors,13-2011,Finance & Legal,Bachelor’s degree,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
7,Management Analysts,13-1111,Business,Bachelor’s degree,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
8,First-Line Supervisors of Office & Administrative Support Workers,43-1011,Business,High school diploma or equivalent,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
9,Software Developers,15-1252,Tech & Services,Bachelor’s degree,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
10,"Sales Representatives, Wholesale & Manufacturing (except technical & scientific products)",41-4012,Business,High school diploma or equivalent,,,Top 30 High Demand Careers Booklet 2032 (Hillsborough & Pinellas),Top 30 High Demand Careers Booklet 2032 (education code → typical ed),O*NET OnLine,O*NET OnLine,FloridaCommerce Employment Projections (Pinellas) — to be filled by API,BLS/O*NET/FloridaCommerce — to be filled by API
